Agent,Year,Delta_DPI,Delta_Consumption,MPC
0,2003,6024.454891270521,12061.156885352655,2.002032898084997
0,2004,3867.3003659017413,16682.74347896935,4.313795645681487
0,2005,3720.406785296247,450.5970773790614,0.12111500257442451
0,2006,3346.8475112740853,-11678.334214183458,-3.489353540860224
0,2007,1916.8791531226016,30511.954189721146,15.917515791236545
0,2013,2161.37198050844,349.59510544029763,0.16174684810990242
0,2017,2738.5826436307834,-790.6129343223147,-0.28869420324453987
1,2003,6189.577015438583,13204.720425358915,2.1333800989021623
1,2004,4066.749877513299,-7941.522684154581,-1.9527934894807435
1,2005,3749.482123052032,19658.48442523193,5.242986572564365
1,2006,3450.772301498102,9721.98790216248,2.8173368315092313
1,2007,1870.7013179218047,300.96655192370235,0.16088434270097773
1,2013,2161.7319593676657,801.7045390899293,0.37086213932112017
1,2017,2736.726026023214,50.62017996098439,0.018496619493381106
2,2003,6118.060340950731,2913.4916247934307,0.4762116524566153
2,2004,4203.069007949918,6126.852267296694,1.4577091776766038
2,2005,3869.005685745986,6086.20958014566,1.5730681406254314
2,2006,3409.9022200204636,2781.0687269521586,0.815586063032467
2,2007,2078.512313680665,1014.0463484495122,0.48787122490211354
2,2013,2175.4617586725944,346.7128169875941,0.15937435609033576
2,2017,2740.6259157941095,1349.870873338412,0.49254108908449123
3,2003,6260.406860714225,-10110.533833448688,-1.614996286726198
3,2004,4127.429591459208,15452.894750396066,3.7439511463435684
3,2005,3927.982170258052,13097.35288275071,3.3343717753918085
3,2006,3700.75004532421,10003.295100146614,2.7030453226057474
3,2007,1867.0975893201976,-5680.01506231325,-3.0421629243179087
3,2013,2301.6087099090073,-628.3911006912822,-0.27302255938896114
3,2017,2771.3481809728546,2103.9113780512416,0.759165301745912
4,2003,6217.959915550149,-10253.00676772253,-1.6489342014060524
4,2004,4250.268631180559,21356.797622033162,5.024811247307226
4,2005,4073.5442874600412,-42129.57537531068,-10.342240663738933
4,2006,3721.2218306127033,101307.18216628092,27.224171731143635
4,2007,2061.2466769574676,-58228.95907178878,-28.249388936669366
4,2013,2383.199083084095,1996.8751366142678,0.837896905377336
4,2017,3199.2088166916074,663.0359797840356,0.2072499851602997
5,2003,6770.82810813094,-12094.228069713456,-1.7862258318431923
5,2004,4655.574557736225,25853.597684528897,5.5532560726726325
5,2005,4133.810574150222,-226.2586959931068,-0.05473368746211074
5,2006,3848.1208912572474,-5751.6256687688,-1.4946582582257817
5,2007,2086.8493223430414,25355.335330571397,12.150055616906405
5,2013,2241.989238633876,851.4442208037653,0.37977176969974247
5,2017,2800.8685856984666,1368.25610883646,0.4885113553070364
6,2003,6718.263767177297,4553.71080941183,0.6778106616860458
6,2004,4393.226382158231,5611.63956858193,1.2773390397936055
6,2005,4100.164376506204,4205.7100503396505,1.0257418152399498
6,2006,3809.9468967482244,4006.2687585383537,1.05152876591474
6,2007,2112.375486966077,-14060.207368465897,-6.656111782787267
6,2013,2075.288182334596,-1364.9659248590906,-0.6577235568910588
6,2017,2987.4660110596014,917.4308753619116,0.3070933265736185
7,2003,7050.73138593389,-13852.496638622397,-1.9646893180837852
7,2004,4657.2726711305295,9495.699679063735,2.038897086255141
7,2005,4511.449482857293,25047.251702731053,5.5519299945408145
7,2006,3825.005460334083,-1596.0805727749248,-0.4172753710619592
7,2007,2188.869330373709,11083.477813185484,5.063563027443572
7,2013,2054.7946199224098,2878.936580753012,1.4010824015403167
7,2017,3288.767759021328,-5775.242007063382,-1.7560504207758285
8,2003,6578.209808122498,5104.52027390158,0.7759740754389944
8,2004,4753.580275943532,17090.600187838165,3.595311154063949
8,2005,4721.664668075362,17018.76118320173,3.604398528822016
8,2006,4052.2632674694905,-1316.236566168809,-0.32481516606663047
8,2007,2161.0394677647564,-4091.219108579564,-1.8931718599342677
8,2013,2601.966115418676,-3248.3996256539685,-1.2484404029724563
8,2017,2589.2834709104645,-2121.880605618673,-0.8194856335573643
9,2003,7265.347396473488,-14005.650916440238,-1.9277331354091083
9,2004,4599.318263413079,18587.394149470798,4.041336799266723
9,2005,4396.03442196369,11418.001748127208,2.5973412972109613
9,2006,3912.084373641468,13723.708823335226,3.5080298665851237
9,2007,2573.785216479533,-3948.4625995755487,-1.5341072651650096
9,2013,2344.158895603963,716.8610778476577,0.30580737474409186
9,2017,2818.097935757498,4513.349388064977,1.6015587431498541
10,2003,6787.4246289894945,-7066.067013189866,-1.0410527408304873
10,2004,5478.33766586789,-12553.074523784016,-2.2914021167396097
10,2005,4448.060702325529,59406.71860746831,13.355644759166477
10,2006,3341.740994674532,2639.682440876204,0.7899123376356387
10,2007,2172.0891619358445,-5619.394676322423,-2.587092083878461
10,2013,2311.210628847548,719.1452409329067,0.3111552153476805
10,2017,3152.7134215457336,-1770.9460914381634,-0.5617212396583423
11,2003,8113.246904984393,13285.122220250458,1.6374606092769974
11,2004,4804.063395800476,-47827.380541652485,-9.955609783056007
11,2005,4690.83061539341,153746.6886709599,32.77600520607702
11,2006,4244.448711027406,-66670.74464071605,-15.707751272267775
11,2007,2630.8244721537194,7323.5561019902525,2.783749421334384
11,2013,2355.225527845527,730.3688212683192,0.3101056831429785
11,2017,3650.698730509277,-7093.031519139608,-1.942924366741739
12,2002,1034.5863052711356,7855.414213092212,7.592807069907552
12,2003,6663.966963901155,-8433.087047471767,-1.2654755182842248
12,2004,4960.355667786644,-67436.12027163371,-13.595017129431836
12,2005,4543.299520156841,189720.40855544855,41.75828771881171
12,2006,4625.392125799641,-83610.88199198846,-18.07649594195946
12,2007,1600.8254586172116,8998.909038963626,5.621417994399501
